title,date,location,latitude,longitude,crime_type,content
"Police arrest Pravin Lonkar in Baba Siddique murder case, accused on run",2024-10-14T06:05:21Z,Pune,18.5213738,73.8545071,murder,"Mumbai Police Crime branch on Monday arrested Pravin Lonkar from Pune in connection with NCP leader Baba Siddique's Murder case.
According to Mumbai Police, Pravin is the brother of Shubuu Lonkar wh… [+2043 chars]"
Opinion: BJP Faces Three Big Challenges In Haryana,2024-09-16T06:24:32Z,Camp,19.0738276,72.8251752,unknown,"With the final date for nominations closing in Haryana, frenzied campaigning has begun in the state, which will vote on October 5. The Bharatiya Janata Party (BJP) is grappling with a triple anti-inc… [+5680 chars]"
"Arvind Kejriwal inaugurates tree plantation campaign, table tennis ground",2024-10-06T18:05:30Z,Camp,19.0738276,72.8251752,unknown,"Former Delhi Chief Minister Arvind Kejriwal on Sunday inaugurated the tree plantation campaign and table tennis ground in the New Delhi Assembly. During this, the AAP convenor also met the locals and… [+2482 chars]"
Janitor accused in Badlapur child sexual assault case killed in encounter,2024-09-24T04:30:29Z,Thane,19.1943294,72.9701779,unknown,"The accused, lodged in Taloja Central Jail since August for alleged assault, was being taken to Thane for investigation into a separate 2021 sexual assault case filed by his ex-wife
Nandini SinghNew… [+3841 chars]"
"Thane Police Seize Whale Vomit Worth ₹6.2 Crore, Arrest 3 Smugglers",,Thane,19.1943294,72.9701779,unknown,"Acting on information, a search operation was launched after which the whale vomit was seized.
Thane, Maharashtra: The Kalyan unit of Thane crime branch in Maharashtra arrested three people and seiz… [+721 chars]"
School Trustees Arrested In Badlapur Sexual Assault Case,,Badlapur,19.1666237,73.2389064,unknown,"Both accused were arrested where two minor girls were sexually assaulted by school sweeper.
Thane: The Thanecrimebranch has arrested twoindividuals in connection with the Badlapursexualassaultcase. … [+1887 chars]"
Mumbai Police Arrest Pravin Lonkar in Baba Siddique Murder Case,,Pune,18.5213738,73.8545071,unknown,"Baba Siddique's last rites were performed with full state honours in Mumbai at Bada Qabrastan. (File)
Mumbai: Mumbai Police Crime Branch on Monday arrested Pravin Lonkar from Pune in connection with… [+2231 chars]"
Bone Test Of Accused In Baba Siddique Murder Case Proves He Is Not Minor,,Bandra,19.0549792,72.8402203,murder,"Baba Siddiqui was shot dead by three assailants on Saturday at suburban Bandra. (File)
Mumbai: Mumbai Police investigating the murder case of NCP leader and former Maharashtra minister Baba Siddiqui… [+1292 chars]"
Cop Who Shot Badlapur Rape Accused Was Part Of Encounter Specialist's Team,,Badlapur,19.1666237,73.2389064,unknown,"Mumbai: The 23-year-old man accused of raping two nursery school girls in Badlapur, Maharashtra was shot dead by cops after he snatched a constable's gun and fired at a police officer, the police hav… [+2533 chars]"
21-Year-Old Gang Raped By Three Men In Maharashtra's Pune,,Pune,18.5213738,73.8545071,rape,"According to the police, the woman had gone to the Bopdev Ghat area with a male friend.
Pune: A 21-year-old woman was allegedly gang-raped by three men in Maharashtra's Pune last night. The incident… [+1592 chars]"
Thane crime branch arrests two accused in Badlapur sexual assault case,,Badlapur,19.1666237,73.2389064,unknown,"The Thane crime branch has arrested two individuals in connection with the Badlapur sexual assault case.The president and secretary of the school, Uday Kotwal and Tushar Apte respectively, where two … [+1731 chars]"
"Updates: State Funeral For Baba Siddique, Salman Khan Security Upgraded",,Bandra,19.0549792,72.8402203,unknown,"New Delhi: Baba Siddique, 66, a former three-time MLA from Bandra West and member of the Ajit Pawar faction of the National Congress Party (NCP), was shot dead last night in Bandra East, Mumbai. At l… [+6638 chars]"
"To induct additional CP, DCP to tackle traffic woes in Pune: Maharashtra Dy CM Devendra Fadnavis",,Pune,18.5213738,73.8545071,unknown,"In response to the growing traffic congestion in Pune city, Maharashtra Deputy Chief Minister Devendra Fadnavis announced the appointment of an Additional Police Commissioner and a Deputy Commissione… [+3208 chars]"
"Maharashtra CM Eknath Shinde vows strict action after NCP leader Baba Siddique's killing in Mumbai, two arrested",,Thane,19.1943294,72.9701779,unknown,"Thane (Maharashtra): Maharashtra Chief Minister Eknath Shinde has vowed strict action against those responsible for taking the law into their own hands, following the killing of former State Minister… [+1970 chars]"
From Dawood Ibrahim to Baba Siddique: How Mumbai's underworld crimes have influenced Bollywood's dark side,,Bandra,19.0549792,72.8402203,murder,"The murder of politician Baba Siddique in Mumbai has sent shockwaves through the city, raising urgent concerns about its law and order situation. Siddique was shot near Nirmal Nagar in Bandra and lat… [+7070 chars]"
"Baba Siddique's Shooters Lived In Rented Flat, Did Recce For Weeks: 5 Points",,Bandra,19.0549792,72.8402203,unknown,"Mumbai: Baba Siddique, 66, a former three-time MLA from Bandra West and member of the Ajit Pawar faction of the National Congress Party (NCP), was shot dead last night outside his son Zeeshan's offic… [+2611 chars]"
"Baba Siddique, former Maharashtra Minister, to receive state funeral, CM Shinde announces",,Neral,19.0274308,73.3184369,unknown,Maharashtra Chief Minister Eknath Shinde on Sunday instructed officials to arrange a funeral with full state honour for Baba Siddique for his tenure as minister in the state government from 2004 to 2… [+1737 chars]
Badlapur Sex Assault Case: 10-Point Summary,,Badlapur,19.1666237,73.2389064,unknown,"<li>Akshay Shinde worked as a cleaner in the school in Badlapur city in Maharashtra's Thane district. He was arrested on August 17. He allegedly assaulted the two children in the school toilet.
</li… [+1773 chars]"
"Who is jailed Lawrence Bishnoi, the man behind the high-profile attacks on Baba Siddique, Salman Khan & Sidhu Moosewala?",,Bandra,19.0549792,72.8402203,unknown,"Baba Siddique, a well-known politician and social worker, was shot dead last night in Mumbai's Bandra area. The incident occurred around 11:30 PM and involved multiple gunshots. The 66-year-old leade… [+5053 chars]"
Mortal remains of Baba Siddique taken for state funeral procession,,Bandra,19.0549792,72.8402203,unknown,"Former Maharashtra Minister and NCP leader Baba Siddique's mortal remains were taken from his residence in Bandra for the state funeral procession on Sunday.
NCP leader Siddique's last rites will be… [+1503 chars]"
Siddique murder case: 'Co-conspirator' held from Pune; 3rd arrest so far,,Pune,18.5213738,73.8545071,murder,"The Mumbai police have arrested a 28-year-old man from Pune who along with his brother enlisted two of the three alleged shooters in the Baba Siddique murder case, an official said on Sunday.
Police… [+1693 chars]"
CID to investigate killing of Badlapur sexual assault case accused,,Badlapur,19.1666237,73.2389064,unknown,"Mumbai: Maharashtra's Crime Investigation Department (CID) will conduct a probe into the death of Badlapur sexual assault case accused Akshay Shinde, officials said on Tuesday. A team of forensic sci… [+1820 chars]"
"Police arrest Pravin Lonkar in Baba Siddique murder case, accused on run",,Pune,18.5213738,73.8545071,murder,"Mumbai Police Crime branch on Monday arrested Pravin Lonkar from Pune in connection with NCP leader Baba Siddique's Murder case.
According to Mumbai Police, Pravin is the brother of Shubuu Lonkar wh… [+2043 chars]"
Opinion: BJP Faces Three Big Challenges In Haryana,,Camp,19.0738276,72.8251752,unknown,"With the final date for nominations closing in Haryana, frenzied campaigning has begun in the state, which will vote on October 5. The Bharatiya Janata Party (BJP) is grappling with a triple anti-inc… [+5680 chars]"
"Arvind Kejriwal inaugurates tree plantation campaign, table tennis ground",,Camp,19.0738276,72.8251752,unknown,"Former Delhi Chief Minister Arvind Kejriwal on Sunday inaugurated the tree plantation campaign and table tennis ground in the New Delhi Assembly. During this, the AAP convenor also met the locals and… [+2482 chars]"
Janitor accused in Badlapur child sexual assault case killed in encounter,,Thane,19.1943294,72.9701779,unknown,"The accused, lodged in Taloja Central Jail since August for alleged assault, was being taken to Thane for investigation into a separate 2021 sexual assault case filed by his ex-wife
Nandini SinghNew… [+3841 chars]"
Baba Siddique Shooters Were Given Flex Banner To Identify Target: Cops,,Pune,18.5213738,73.8545071,unknown,"Baba Siddique was shot dead on October 12 outside his son's office.
New Delhi: The plot to kill former Maharashtra minister Baba Siddique was hatched over 100 km away in Pune months ago during sever… [+4274 chars]"
Baba Siddique murder plot hatched in Pune; 'shooters were given his photo and flex banner',,Pune,18.5213738,73.8545071,unknown,"The conspiracy to kill NCP leader and former Maharashtra minister Baba Siddique was hatched in Pune and shooters were provided with a photo and a flex banner for the target identification, police sai… [+4162 chars]"
Baba Siddique murder plot hatched in Pune; 'shooters were given his photo',,Pune,18.5213738,73.8545071,unknown,"The conspiracy to kill NCP leader and former Maharashtra minister Baba Siddique was hatched in Pune and shooters were provided with a photo and a flex banner for the target identification, police sai… [+4304 chars]"
Baba Siddique Shooters Were Given Flex Banner To Identify Target: Cops,2024-10-14T17:03:40Z,Pune,18.5213738,73.8545071,unknown,"Baba Siddique was shot dead on October 12 outside his son's office.
New Delhi: The plot to kill former Maharashtra minister Baba Siddique was hatched over 100 km away in Pune months ago during sever… [+4274 chars]"
Thane crime branch arrests two accused in Badlapur sexual assault case,2024-10-03T07:07:21Z,Badlapur,19.1666237,73.2389064,rape,"The Thane crime branch has arrested two individuals in connection with the Badlapur sexual assault case.The president and secretary of the school, Uday Kotwal and Tushar Apte respectively, where two … [+1731 chars]"
"Maharashtra CM Eknath Shinde vows strict action after NCP leader Baba Siddique's killing in Mumbai, two arrested",2024-10-13T01:17:31Z,Thane,19.1943294,72.9701779,murder,"Thane (Maharashtra): Maharashtra Chief Minister Eknath Shinde has vowed strict action against those responsible for taking the law into their own hands, following the killing of former State Minister… [+1970 chars]"
"Baba Siddique's Shooters Lived In Rented Flat, Did Recce For Weeks: 5 Points",2024-10-13T04:40:13Z,Bandra,19.0549792,72.8402203,unknown,"Mumbai: Baba Siddique, 66, a former three-time MLA from Bandra West and member of the Ajit Pawar faction of the National Congress Party (NCP), was shot dead last night outside his son Zeeshan's offic… [+2611 chars]"
Baba Siddique murder plot hatched in Pune; 'shooters were given his photo and flex banner',2024-10-14T16:28:10Z,Pune,18.5213738,73.8545071,unknown,"The conspiracy to kill NCP leader and former Maharashtra minister Baba Siddique was hatched in Pune and shooters were provided with a photo and a flex banner for the target identification, police sai… [+4162 chars]"
Baba Siddique murder plot hatched in Pune; 'shooters were given his photo',2024-10-14T17:19:44Z,Pune,18.5213738,73.8545071,unknown,"The conspiracy to kill NCP leader and former Maharashtra minister Baba Siddique was hatched in Pune and shooters were provided with a photo and a flex banner for the target identification, police sai… [+4304 chars]"
CID to investigate killing of Badlapur sexual assault case accused,2024-09-24T05:40:28Z,Badlapur,19.1666237,73.2389064,rape,"Mumbai: Maharashtra's Crime Investigation Department (CID) will conduct a probe into the death of Badlapur sexual assault case accused Akshay Shinde, officials said on Tuesday. A team of forensic sci… [+1820 chars]"
"Thane Police Seize Whale Vomit Worth ₹6.2 Crore, Arrest 3 Smugglers",,Thane,19.1943294,72.9701779,smuggling,"Acting on information, a search operation was launched after which the whale vomit was seized.
Thane, Maharashtra: The Kalyan unit of Thane crime branch in Maharashtra arrested three people and seiz… [+721 chars]"
School Trustees Arrested In Badlapur Sexual Assault Case,,Badlapur,19.1666237,73.2389064,rape,"Both accused were arrested where two minor girls were sexually assaulted by school sweeper.
Thane: The Thanecrimebranch has arrested twoindividuals in connection with the Badlapursexualassaultcase. … [+1887 chars]"
Baba Siddique Shooters Were Given Flex Banner To Identify Target: Cops,,Pune,18.5213738,73.8545071,murder,"Baba Siddique was shot dead on October 12 outside his son's office.
New Delhi: The plot to kill former Maharashtra minister Baba Siddique was hatched over 100 km away in Pune months ago during sever… [+4274 chars]"
Cop Who Shot Badlapur Rape Accused Was Part Of Encounter Specialist's Team,,Badlapur,19.1666237,73.2389064,murder,"Mumbai: The 23-year-old man accused of raping two nursery school girls in Badlapur, Maharashtra was shot dead by cops after he snatched a constable's gun and fired at a police officer, the police hav… [+2533 chars]"
Thane crime branch arrests two accused in Badlapur sexual assault case,,Badlapur,19.1666237,73.2389064,rape,"The Thane crime branch has arrested two individuals in connection with the Badlapur sexual assault case.The president and secretary of the school, Uday Kotwal and Tushar Apte respectively, where two … [+1731 chars]"
"Updates: State Funeral For Baba Siddique, Salman Khan Security Upgraded",,Bandra,19.0549792,72.8402203,murder,"New Delhi: Baba Siddique, 66, a former three-time MLA from Bandra West and member of the Ajit Pawar faction of the National Congress Party (NCP), was shot dead last night in Bandra East, Mumbai. At l… [+6638 chars]"
"Maharashtra CM Eknath Shinde vows strict action after NCP leader Baba Siddique's killing in Mumbai, two arrested",,Thane,19.1943294,72.9701779,murder,"Thane (Maharashtra): Maharashtra Chief Minister Eknath Shinde has vowed strict action against those responsible for taking the law into their own hands, following the killing of former State Minister… [+1970 chars]"
"Baba Siddique's Shooters Lived In Rented Flat, Did Recce For Weeks: 5 Points",,Bandra,19.0549792,72.8402203,murder,"Mumbai: Baba Siddique, 66, a former three-time MLA from Bandra West and member of the Ajit Pawar faction of the National Congress Party (NCP), was shot dead last night outside his son Zeeshan's offic… [+2611 chars]"
"Who is jailed Lawrence Bishnoi, the man behind the high-profile attacks on Baba Siddique, Salman Khan & Sidhu Moosewala?",,Bandra,19.0549792,72.8402203,murder,"Baba Siddique, a well-known politician and social worker, was shot dead last night in Mumbai's Bandra area. The incident occurred around 11:30 PM and involved multiple gunshots. The 66-year-old leade… [+5053 chars]"
CID to investigate killing of Badlapur sexual assault case accused,,Badlapur,19.1666237,73.2389064,rape,"Mumbai: Maharashtra's Crime Investigation Department (CID) will conduct a probe into the death of Badlapur sexual assault case accused Akshay Shinde, officials said on Tuesday. A team of forensic sci… [+1820 chars]"
"Thane Police Seize Whale Vomit Worth ₹6.2 Crore, Arrest 3 Smugglers",,Thane,19.3592411,73.3708244879681,unknown,"Acting on information, a search operation was launched after which the whale vomit was seized.
Thane, Maharashtra: The Kalyan unit of Thane crime branch in Maharashtra arrested three people and seiz… [+721 chars]"
"Maharashtra CM Eknath Shinde vows strict action after NCP leader Baba Siddique's killing in Mumbai, two arrested",,Thane,19.3592411,73.3708244879681,unknown,"Thane (Maharashtra): Maharashtra Chief Minister Eknath Shinde has vowed strict action against those responsible for taking the law into their own hands, following the killing of former State Minister… [+1970 chars]"
